Source ID,Source,Source Type,Reliability Tier,URL,Supports,Cautions
S01,Google Trends FAQ,Primary methodology,A,https://support.google.com/trends/answer/4365533?hl=en,"Sampling, anonymization, aggregation, normalization, irregular activity cautions",Authoritative for interpreting Trends; does not validate case-specific screenshots.
S02,Google Trends region help,Primary methodology,A,https://support.google.com/trends/answer/4355212?hl=en,Regional interest is relative to total searches in time/location,Authoritative methodology.
S03,Google Trends term vs topic help,Primary methodology,A,https://support.google.com/trends/answer/17309543,Exact search term vs broader topic distinction,Important for reproducing literal-name queries.
S04,Google Trends export/citation help,Primary methodology,A,https://support.google.com/trends/answer/4365538?hl=en,How screenshots/exports should be cited,Use for future primary capture.
S05,Metacast transcript — Conspiracy Files,Secondary transcript,B,https://metacast.app/podcast/the-conspiracy-files/gE8JvITE/charlie-kirk-and-the-egyptian-planes-coincidence-or-conspiracy/k7OdQSsy,"Specific dates/scores for Lance, Zinn, Tyler full name, Nester, hospital, Losee, N888KG",Summarizes another researcher; not original Google export.
S06,Project Constitution Thread Reader,Secondary archived post,B,https://threadreaderapp.com/thread/1977628589966143593.html,"Hunter Kozak, Beau Mason, Syed, Bohls, medical cluster claims","Conspiratorial framing; dates/screenshots are leads, not conclusions."
S07,Sam Parker medical Trends thread,Secondary archived post,B,https://threadreaderapp.com/thread/1976792903105269763.html,"Hospital, Amaro, physician dates",Original export absent.
S08,Sam Parker 2024 Trends archive,Secondary archived post,B,https://threadreaderapp.com/thread/1978928064257233131.html,"Amaro Mar.21, Kirk May.10, Hammer May.17 2024",Original export absent.
S09,Sam Parker judges thread,Secondary archived post,B,https://threadreaderapp.com/thread/1980062269112512513.html,Lunnen May.15 and Graf July.26 Israel claims,Original export absent.
S10,24vids — Tyler/Lance Trends clip,Secondary video mirror,B,https://www.24vids.com/shorts/google-trend-searches-for-tyler-james-robinson-were-trending-over-100x-times-p-tw-1979286545535242458,Tyler full name Aug.7 DC-WV and Lance June 15 DC-WV claims,Conflicts with other secondary geography for Lance.
S11,24vids — Hunter/George/Beau clip,Secondary video mirror,B,https://www.24vids.com/video/more-charlie-kirk-bombshells-google-trends-analysis-shows-george-zinn-amp-beau-p-tw-1977044018011029955,Hunter/George/Beau claim summary,Video mirror.
S12,Mailstar compilation,Tertiary compilation,C,https://www.mailstar.net/Kirk-Mossad-Soros.html,Large 2024-2025 claimed list; links screenshot PDFs,High transcription/context risk.
S13,SmallPDF names/terms,Screenshot archive,C,https://smallpdf.com/file#s=ab4f5e21-7f44-4b24-9ca9-7f38d441144e,Claimed screenshots for names/terms,Not a Google export; link may change.
S14,SmallPDF address,Screenshot archive,C,https://smallpdf.com/file#s=335d10e2-874e-4c0d-a002-20bf1d1cb0df,Claimed screenshots for 3419 S River Road,Not a Google export; link may change.
S15,Utah DPS case update,Primary case source,A,https://dps.utah.gov/press-releases/updates-on-charlie-kirk-shooting-at-uvu/,"Shooting date, agencies, Zinn, Qureshi, UVU security",Authoritative role source.
S16,FBI Robert Bohls remarks,Primary case source,A,https://www.fbi.gov/contact-us/field-offices/saltlakecity/news/remarks-by-sac-robert-bohls-at-press-conference-regarding-shooting-at-utah-valley-university,Bohls SAC and FBI co-led investigation,Authoritative role source.
S17,FBI Mehtab Syed remarks,Primary role source,A,https://www.fbi.gov/contact-us/field-offices/saltlakecity/news/fbi-salt-lake-city-remarks-at-press-conference-on-search-for-sawade-birdinground,"Syed was SAC June 6, 2025",Authoritative role/date source.
S18,Utah DPS Beau Mason appointment,Primary role source,A,https://dps.utah.gov/press-releases/media-advisory-utah-department-of-public-safety-announces-retirement-of-commissioner-jess-l-anderson-and-appointment-of-new-commissioner/,Appointment announced June 19; effective July 17,Timing context.
S19,Utah DHHS Deirdre Amaro announcement,Primary role source,A,https://dhhs.utah.gov/featured-news/utah-department-of-health-and-human-services-dhhs-welcomes-new-medical-examiner/,"Appointment announced May 9, 2024",Timing context.
S20,Utah judicial vacancy announcement,Primary role source,A,https://governor.utah.gov/press-release/nominees-announced-for-fourth-district-court-vacancy-2/,Lunnen retirement public Apr.10; Graf nominee,Timing context.
S21,Utah Senate Tony Graf appointment,Primary role source,A,https://senate.utah.gov/utah-senate-requests-public-comment-on-4th-district-appointee/,"Graf appointment public May 2, 2025",Timing context.
S22,KSL security team account,Credible case source,A-,https://www.ksl.com/article/news/utah/security-chief-recounts-charlie-kirk-shot/51588629,"Harpole, Flood, Davis, Cutler, Turek roles",Named security/transport personnel.
S23,UVU Jeffrey Long profile,Primary institutional role,A,https://www.uvu.edu/news/2024/12/uvu-chief-of-police-jeffrey-long-2024.html,Jeffrey Long as UVU police chief,Role source.
S24,Washington Post Hunter Kozak account,Credible news,A-,https://www.washingtonpost.com/nation/2025/09/11/student-describes-moment-charlie-kirk-was-shot/,Kozak final questioner and prior summit attendance,May be paywalled.
